id,day,pressure,maxtemp,temparature,mintemp,dewpoint,humidity,cloud,sunshine,winddirection,windspeed,rainfall
620,256,1011.6,30.8,27.6,25.9,23.2,81.0,81.0,3.8,40.0,44.7,0
1353,259,1011.2,29.8,26.4,24.4,23.1,80.0,51.0,6.1,220.0,7.9,1
1515,56,1014.8,21.2,20.8,19.2,17.1,86.0,83.0,1.6,50.0,21.9,1
926,197,1008.5,34.4,30.1,27.8,24.3,74.0,28.0,10.1,220.0,9.2,0
1065,336,1024.9,17.3,15.2,11.8,10.6,54.0,58.0,8.5,50.0,19.3,0
1909,85,1012.5,26.6,24.7,23.5,18.8,76.0,81.0,0.3,60.0,15.3,1
1381,287,1014.6,25.3,23.7,21.1,21.1,76.0,49.0,6.5,50.0,23.7,0
1436,342,1020.6,20.8,18.4,16.2,7.4,67.0,88.0,0.0,40.0,27.0,1
1071,342,1023.8,16.8,14.8,13.5,8.0,62.0,94.0,0.0,20.0,29.0,1
1142,48,1013.3,17.1,17.2,15.2,14.8,87.0,90.0,0.2,20.0,25.1,1
81,82,1019.8,27.6,25.4,24.0,22.3,89.0,84.0,1.6,20.0,18.6,1
1032,303,1014.9,27.2,25.5,24.9,22.4,71.0,88.0,1.1,70.0,22.9,1
967,238,1008.9,31.6,29.2,26.9,25.8,82.0,82.0,6.7,200.0,30.0,1
480,116,1013.3,29.4,25.8,23.1,22.9,86.0,88.0,0.3,20.0,10.2,1
1467,8,1017.8,17.4,13.7,9.8,11.4,98.0,99.0,0.0,50.0,38.3,1
2102,278,1010.9,27.6,24.5,22.4,19.0,74.0,61.0,7.6,20.0,14.7,1
1339,245,1010.2,31.7,28.2,25.9,23.8,79.0,88.0,1.6,70.0,22.0,1
2091,267,1008.8,27.5,25.4,24.9,23.2,92.0,95.0,0.0,40.0,25.1,1
1169,75,1017.1,21.3,20.8,19.2,17.8,83.0,84.0,0.6,80.0,37.9,0
331,332,1024.4,18.8,14.8,12.4,8.5,75.0,43.0,9.1,20.0,39.5,0
359,360,1016.8,21.1,18.8,17.2,18.0,97.0,95.0,0.0,40.0,16.0,1
2038,214,1008.3,34.4,30.3,28.7,25.3,77.0,43.0,8.4,120.0,13.8,0
130,131,1008.7,31.4,28.2,26.1,25.1,82.0,75.0,9.1,120.0,21.8,0
2125,301,1014.9,26.1,24.4,23.1,23.2,89.0,88.0,3.5,80.0,29.6,1
859,130,1006.9,31.2,28.2,26.6,25.7,74.0,81.0,4.4,230.0,18.1,1
161,162,1007.5,32.0,30.1,29.0,25.6,84.0,88.0,1.5,220.0,29.2,1
1871,47,1013.0,15.8,15.3,14.7,11.0,79.0,93.0,0.0,70.0,39.5,1
785,56,1023.4,15.2,13.3,11.4,8.4,77.0,91.0,0.8,40.0,28.6,1
704,340,1022.5,19.2,17.7,15.2,12.1,76.0,86.0,0.4,20.0,29.0,1
1995,171,1009.8,31.7,28.9,25.6,25.0,85.0,82.0,3.6,220.0,22.3,1
32,33,1020.4,21.3,18.8,17.3,13.6,52.0,56.0,2.9,40.0,21.3,0
482,118,1011.6,26.7,24.8,23.3,22.5,89.0,86.0,1.9,50.0,37.7,1
622,258,1006.8,31.3,29.7,28.1,26.1,93.0,93.0,0.5,110.0,39.5,1
879,150,1006.7,34.1,30.1,26.8,25.2,81.0,80.0,3.9,200.0,24.4,1
1295,201,1011.4,35.6,31.0,27.8,24.6,77.0,47.0,6.3,220.0,25.2,1
478,114,1012.4,30.4,26.1,24.4,22.1,81.0,88.0,2.5,50.0,14.3,1
2026,202,1010.7,31.9,28.9,26.7,25.7,84.0,81.0,3.2,60.0,6.6,1
1100,6,1020.6,17.6,13.2,11.2,6.8,59.0,25.0,2.4,20.0,33.5,0
1386,292,1014.8,29.2,25.5,23.4,19.9,84.0,70.0,6.3,80.0,13.7,0
1988,164,1008.4,32.3,29.2,28.1,25.0,75.0,41.0,8.0,230.0,28.4,0
624,260,1010.3,28.7,26.2,25.6,21.6,89.0,93.0,0.6,80.0,12.1,0
981,252,1008.9,32.4,28.8,27.9,25.4,81.0,69.0,5.7,230.0,18.2,1
2023,199,1008.4,32.9,30.2,28.6,25.3,79.0,57.0,10.6,230.0,19.6,1
1354,260,1008.1,28.1,27.9,25.3,22.2,79.0,84.0,2.0,10.0,50.6,1
131,132,1012.4,31.3,28.8,26.1,22.7,81.0,87.0,2.1,20.0,19.2,1
114,115,1008.3,31.0,28.6,26.9,24.9,81.0,83.0,3.0,220.0,9.2,1
953,224,1008.5,31.1,28.1,26.4,25.5,78.0,80.0,7.9,300.0,18.4,1
1369,275,1008.8,27.6,25.0,24.5,24.3,62.0,88.0,8.2,230.0,39.5,1
1080,351,1018.4,23.1,21.4,19.4,19.4,90.0,89.0,1.9,50.0,16.3,1
1746,287,1013.0,28.7,25.9,24.0,23.2,80.0,81.0,1.0,70.0,15.9,1
2070,246,1010.4,31.0,28.0,26.5,23.3,85.0,58.0,6.0,80.0,14.5,0
340,341,1019.3,21.3,20.3,19.4,16.0,89.0,75.0,3.1,30.0,25.1,1
707,343,1018.7,16.3,15.4,14.4,12.7,79.0,88.0,0.0,10.0,30.2,1
22,23,1020.6,18.5,17.3,16.9,16.8,95.0,95.0,0.0,60.0,39.5,1
1364,270,1017.0,23.1,21.6,20.5,19.6,78.0,88.0,0.0,70.0,50.6,1
578,214,1008.5,29.0,27.8,26.0,25.8,89.0,88.0,0.9,70.0,17.5,1
910,181,1005.7,31.0,29.1,26.3,26.3,84.0,78.0,5.4,230.0,13.3,1
1139,45,1024.5,18.9,18.4,15.0,13.0,72.0,65.0,5.9,20.0,28.0,0
1815,356,1024.0,20.3,20.5,17.8,14.5,77.0,86.0,0.0,60.0,34.3,1
1172,78,1021.2,26.2,24.8,21.2,12.4,77.0,62.0,10.0,60.0,39.5,1
1974,150,1008.5,31.8,29.6,26.9,25.7,79.0,69.0,6.7,240.0,13.0,0
1699,240,1013.3,31.3,28.7,26.9,24.7,76.0,75.0,2.8,120.0,18.8,1
1112,18,1023.7,15.8,10.1,7.7,4.0,72.0,7.0,9.1,20.0,9.2,0
1550,91,1012.5,28.4,23.8,21.0,22.1,91.0,86.0,2.0,70.0,24.2,1
541,177,1008.1,30.6,28.2,24.8,25.8,89.0,85.0,0.3,190.0,17.3,1
575,211,1009.8,31.7,29.8,26.8,24.3,84.0,67.0,3.0,120.0,10.2,1
404,40,1013.3,21.4,20.8,19.2,18.8,88.0,88.0,0.3,40.0,13.6,1
357,358,1020.3,18.9,16.1,15.3,14.7,75.0,91.0,0.0,70.0,27.4,1
547,183,1008.1,33.3,30.0,28.4,26.0,79.0,84.0,3.5,220.0,27.3,1
801,72,1016.0,24.4,22.1,19.8,17.6,87.0,74.0,2.3,20.0,10.2,1
1894,70,1016.5,17.1,16.3,15.3,13.7,79.0,89.0,0.0,20.0,28.8,1
1487,28,1020.5,21.8,18.2,15.8,9.7,62.0,19.0,9.2,20.0,26.1,0
567,203,1008.4,33.0,29.1,25.3,24.8,74.0,47.0,10.1,20.0,12.6,1
1943,119,1009.9,27.7,25.3,24.4,22.5,89.0,84.0,1.0,220.0,25.0,1
1781,322,1017.7,20.6,17.8,15.5,13.3,79.0,85.0,5.9,20.0,24.2,1
1284,4,1007.9,33.0,30.1,27.8,25.1,78.0,67.0,5.7,220.0,12.5,1
118,119,1013.5,27.3,25.5,23.3,20.6,73.0,64.0,6.3,120.0,29.6,0
825,96,1007.8,28.2,26.6,25.8,24.2,87.0,84.0,1.8,80.0,30.6,1
1390,296,1015.6,26.3,23.8,21.4,20.9,70.0,72.0,8.5,50.0,35.8,0
679,315,1016.4,21.9,18.6,18.8,15.4,76.0,88.0,8.6,70.0,26.8,1
1799,340,1023.6,17.4,14.8,11.6,11.6,77.0,88.0,0.1,50.0,25.1,1
411,47,1019.9,21.5,19.1,18.2,18.6,81.0,81.0,1.1,50.0,7.9,1
1389,295,1016.8,30.7,26.2,24.7,19.9,75.0,68.0,9.2,70.0,16.9,1
1692,233,1009.5,31.0,29.8,28.2,24.5,78.0,78.0,7.7,220.0,26.4,1
2049,225,1006.0,28.9,26.1,24.6,24.9,82.0,81.0,6.5,240.0,9.1,1
1300,206,1000.0,31.4,28.0,26.9,24.7,79.0,84.0,2.9,220.0,23.9,1
1969,145,1004.9,29.1,27.1,25.0,26.4,92.0,96.0,0.6,250.0,14.5,1
508,144,1008.6,33.0,30.1,28.4,24.1,78.0,46.0,11.5,170.0,20.5,0
1907,83,1016.5,26.4,23.3,20.6,22.1,80.0,78.0,1.6,200.0,11.9,1
2187,363,1013.3,19.0,16.3,14.3,12.6,79.0,79.0,5.0,40.0,32.9,1
321,322,1017.7,19.0,17.7,16.9,15.5,77.0,82.0,0.5,70.0,35.8,1
864,135,1007.9,33.4,29.1,24.3,25.8,88.0,82.0,2.2,230.0,20.5,1
1326,232,1010.9,29.2,26.4,24.8,25.5,88.0,83.0,2.3,130.0,28.0,1
1865,41,1018.2,25.3,22.4,20.3,19.8,83.0,81.0,1.8,70.0,9.2,0
1874,50,1020.4,15.8,12.5,11.8,11.1,75.0,88.0,0.0,20.0,21.9,1
1779,320,1019.8,20.1,19.2,18.4,16.8,82.0,91.0,0.0,70.0,38.0,1
258,259,1015.0,28.6,26.6,24.8,23.6,83.0,84.0,3.6,20.0,37.5,1
1777,318,1021.6,23.4,19.7,18.5,15.4,80.0,78.0,0.0,70.0,16.4,1
552,188,1007.8,32.4,30.0,27.9,26.3,75.0,67.0,10.1,220.0,14.5,1
574,210,1008.9,33.2,29.6,27.8,26.1,81.0,78.0,3.1,190.0,6.1,1
995,266,1017.0,30.3,27.9,26.2,23.8,81.0,66.0,5.9,70.0,8.3,1
1679,220,1001.5,33.9,30.6,26.3,24.8,74.0,41.0,9.8,70.0,12.3,0
2146,322,1019.4,20.4,18.5,17.0,14.2,85.0,88.0,1.9,60.0,19.8,1
1251,236,1005.0,35.3,31.0,26.4,26.4,74.0,49.0,10.8,230.0,28.6,1
802,73,1019.4,21.3,20.7,20.9,18.3,81.0,88.0,0.0,30.0,12.1,1
2121,297,1019.1,24.9,23.8,20.6,18.5,87.0,79.0,7.7,60.0,25.1,1
959,230,1011.5,29.5,26.9,25.0,23.8,75.0,43.0,7.7,100.0,22.6,0
1069,340,1022.7,17.4,15.2,13.3,9.6,75.0,45.0,8.4,20.0,9.8,0
878,149,1010.5,33.7,30.3,28.6,25.8,75.0,32.0,9.3,240.0,14.0,0
1533,74,1017.1,26.8,21.8,19.9,18.5,79.0,28.0,9.5,70.0,7.4,0
1667,208,1010.4,31.0,29.6,26.9,26.5,81.0,77.0,4.6,90.0,19.8,1
901,172,1006.3,32.8,29.4,27.5,26.4,82.0,83.0,2.0,190.0,20.7,0
276,277,1018.0,22.3,21.3,20.4,20.9,89.0,88.0,0.0,20.0,21.4,1
349,350,1022.4,21.3,18.9,16.6,12.9,79.0,70.0,7.9,50.0,19.2,1
904,175,1008.7,31.6,28.2,26.8,26.6,89.0,82.0,2.4,240.0,25.9,1
1552,93,1011.5,26.2,25.2,24.3,23.8,89.0,88.0,1.2,50.0,21.4,1
1438,133,1021.3,17.2,14.9,12.8,11.8,90.0,88.0,0.1,50.0,27.4,1
922,193,1005.8,32.2,29.4,26.4,25.3,81.0,59.0,7.2,30.0,23.7,0
493,129,1007.1,30.4,27.8,24.1,25.7,87.0,88.0,0.9,230.0,13.2,1
1709,250,1006.6,29.4,27.5,25.8,25.5,86.0,82.0,1.6,70.0,13.0,1
1290,16,1008.4,32.3,29.0,26.5,24.4,79.0,40.0,11.2,220.0,12.4,0
204,205,1008.9,30.6,28.4,26.6,25.0,81.0,88.0,0.3,220.0,11.3,1
410,46,1022.5,19.9,18.2,17.2,14.8,78.0,84.0,0.0,30.0,42.0,1
1146,52,1016.7,17.4,17.6,16.4,16.3,96.0,100.0,0.2,50.0,16.1,1
1262,168,1008.8,31.0,28.4,27.4,25.4,82.0,88.0,7.0,220.0,13.6,1
324,325,1015.6,21.2,19.6,18.7,17.0,93.0,88.0,0.0,60.0,23.5,1
2179,355,1021.2,20.9,18.9,17.2,16.6,79.0,88.0,0.1,50.0,26.7,1
1768,309,1014.6,29.1,25.8,23.3,22.3,84.0,70.0,6.7,40.0,9.1,1
1078,349,1022.7,16.2,15.2,13.7,14.3,92.0,88.0,0.0,60.0,37.5,1
444,80,1011.4,25.9,22.4,19.7,17.8,89.0,85.0,0.6,100.0,22.3,1
1912,88,1012.5,27.9,25.5,22.4,23.8,92.0,89.0,0.7,170.0,11.7,1
1880,56,1015.6,19.1,17.5,16.8,16.6,97.0,95.0,0.0,40.0,23.2,1
534,170,1003.2,32.4,29.4,27.6,26.2,79.0,84.0,6.2,230.0,9.6,1
65,66,1022.7,14.3,12.8,10.0,8.0,63.0,95.0,0.1,20.0,24.5,1
1097,3,1016.4,16.7,15.6,14.7,11.4,79.0,91.0,0.0,60.0,55.5,1
2019,195,1009.7,32.8,30.2,28.9,25.4,78.0,43.0,8.1,240.0,10.2,0
427,63,1019.7,16.5,15.0,12.9,15.5,98.0,100.0,0.0,80.0,40.8,1
2094,270,1016.8,31.2,28.7,27.0,23.1,77.0,47.0,8.5,70.0,25.0,1
139,140,1008.0,32.8,29.9,26.7,26.7,89.0,74.0,6.1,230.0,15.8,1
208,209,1008.9,32.9,29.6,26.4,26.6,83.0,82.0,3.5,280.0,9.2,1
555,191,1009.1,32.9,30.1,28.1,25.7,79.0,72.0,6.0,200.0,9.5,1
222,223,1008.5,29.1,28.3,27.4,24.3,85.0,88.0,0.2,230.0,15.3,1
1214,120,1008.3,28.8,27.1,24.1,25.1,94.0,88.0,1.0,190.0,16.9,1
1204,110,1012.6,28.8,25.7,23.9,23.4,89.0,88.0,0.4,200.0,22.0,1
1942,118,1010.3,26.5,25.9,24.3,22.4,84.0,80.0,3.5,80.0,21.6,1
2007,183,1008.4,32.0,30.0,28.2,26.4,77.0,78.0,6.5,230.0,28.0,1
500,136,1008.2,33.3,30.2,28.7,25.4,82.0,59.0,9.8,230.0,15.2,1
1373,74,1011.4,29.1,25.8,23.1,19.3,70.0,32.0,10.6,10.0,9.9,0
1704,245,1014.8,31.9,28.0,26.5,24.8,74.0,46.0,7.6,50.0,12.6,0
1009,280,1019.0,25.8,22.6,20.5,20.4,79.0,73.0,0.7,70.0,11.3,0
2065,241,1011.1,31.0,28.1,26.8,24.9,78.0,60.0,8.4,140.0,12.0,1
900,171,1006.4,32.0,28.2,26.5,25.9,84.0,82.0,3.1,220.0,14.6,1
2021,197,1007.5,32.9,29.7,27.9,24.4,78.0,38.0,11.8,210.0,17.3,1
1776,317,1015.1,27.5,23.7,22.2,21.3,91.0,93.0,5.9,70.0,22.5,1
1559,100,1012.4,25.2,23.1,21.7,18.2,80.0,83.0,3.9,60.0,34.3,1
1445,15,1020.2,17.3,15.3,14.9,13.1,84.0,88.0,0.0,30.0,28.3,1
778,49,1019.9,17.5,16.5,15.5,15.6,95.0,91.0,0.0,60.0,34.0,1
633,269,1014.6,26.3,24.8,23.4,19.9,76.0,20.0,10.1,70.0,26.5,1
434,70,1021.4,21.6,20.8,19.1,19.8,93.0,92.0,0.0,40.0,4.5,1
1457,144,1013.0,22.2,20.5,19.1,17.9,79.0,81.0,2.2,70.0,28.6,1
528,164,1007.9,33.2,30.8,28.1,24.8,79.0,60.0,9.7,80.0,22.6,0
1176,82,1019.8,28.1,25.4,23.6,22.3,92.0,88.0,0.8,120.0,21.9,1
1094,365,1017.0,22.1,20.8,19.6,18.0,91.0,88.0,0.0,40.0,46.3,1
653,289,1016.6,26.2,26.8,23.2,20.4,79.0,69.0,5.0,40.0,22.4,1
843,114,1012.5,26.3,24.8,23.6,21.1,89.0,84.0,1.2,80.0,23.4,1
2175,351,1017.0,20.9,18.8,17.8,15.0,79.0,83.0,1.6,50.0,20.0,0
1375,281,1011.4,27.5,22.8,22.5,19.4,76.0,85.0,2.5,70.0,32.4,1
1784,325,1018.5,20.6,18.1,16.3,15.3,93.0,93.0,0.4,80.0,20.3,1
1407,111,1017.8,21.0,20.0,19.1,19.6,78.0,87.0,6.5,50.0,21.3,1
858,129,1008.9,31.0,29.0,26.7,25.6,80.0,69.0,6.4,230.0,11.2,1
113,114,1009.8,28.7,26.7,25.3,24.3,84.0,87.0,0.6,90.0,15.7,1
905,176,1005.4,31.1,28.4,28.8,25.5,84.0,86.0,6.8,220.0,16.7,1
1408,314,1017.1,20.4,18.4,17.4,15.1,79.0,88.0,0.0,40.0,37.5,0
468,104,1014.4,25.6,21.4,20.5,19.0,80.0,88.0,3.3,80.0,28.8,1
1420,9,1022.2,24.4,19.7,18.4,16.0,83.0,95.0,1.2,70.0,15.5,1
1173,79,1013.8,24.8,24.3,23.7,23.2,93.0,100.0,0.2,100.0,41.4,1
913,184,1008.1,32.4,30.1,28.0,25.9,77.0,38.0,11.8,240.0,15.2,0
740,11,1027.1,18.5,15.4,13.7,10.1,75.0,89.0,0.0,60.0,39.5,1
1621,162,1006.5,32.6,29.8,27.4,25.0,85.0,74.0,6.7,100.0,12.6,1
505,141,1006.1,32.7,29.4,27.6,26.7,88.0,84.0,2.3,230.0,31.9,1
914,185,1008.5,33.3,30.6,28.1,25.9,81.0,58.0,6.0,220.0,16.5,1
1140,46,1018.9,20.2,19.9,18.1,18.2,90.0,90.0,1.0,40.0,22.5,1
1934,110,1009.4,30.6,28.3,26.5,24.6,83.0,88.0,5.3,220.0,8.9,1
965,236,1008.4,33.3,30.1,27.0,22.5,84.0,48.0,7.9,60.0,17.2,0
1367,264,1011.2,26.8,24.5,23.2,23.7,77.0,56.0,6.0,80.0,37.7,1
1859,35,1023.6,23.8,20.7,19.2,15.0,71.0,53.0,10.0,70.0,43.1,1
432,68,1017.1,15.3,13.7,11.5,12.1,96.0,99.0,0.0,40.0,22.0,1
1546,87,1014.9,27.3,25.9,23.1,21.4,92.0,90.0,4.4,80.0,30.3,1
451,87,1011.5,21.7,18.9,16.3,19.4,83.0,88.0,0.3,80.0,28.4,1
2058,234,1011.2,28.3,26.4,25.5,24.8,82.0,79.0,2.4,60.0,13.7,1
1587,128,1009.8,28.4,26.2,25.9,25.4,77.0,78.0,3.3,70.0,31.9,1
2064,240,1014.4,30.5,27.2,26.0,25.2,88.0,83.0,3.6,230.0,20.0,1
1855,31,1015.0,24.8,22.4,20.8,17.8,79.0,80.0,3.6,70.0,33.5,1
1800,341,1024.1,17.5,14.8,14.0,10.0,73.0,88.0,0.0,20.0,29.0,0
1795,336,1020.3,17.3,16.6,15.3,13.6,92.0,86.0,0.0,20.0,28.4,1
1258,164,1008.5,35.1,30.8,28.0,25.9,75.0,32.0,9.5,220.0,12.6,0
716,352,1017.8,21.3,19.3,17.8,18.1,81.0,86.0,2.2,20.0,18.2,1
654,290,1013.4,29.1,23.5,21.0,19.9,82.0,74.0,6.4,30.0,25.1,1
1967,143,1008.6,32.8,30.0,28.1,25.8,79.0,86.0,2.1,240.0,20.0,1
788,59,1012.0,18.0,17.3,16.3,16.1,76.0,86.0,3.7,20.0,31.7,1
67,68,1014.2,18.4,18.0,17.2,17.4,97.0,95.0,0.0,40.0,22.9,1
290,291,1017.1,27.9,25.3,24.1,22.9,84.0,78.0,1.0,40.0,14.6,1
203,204,1008.1,32.4,29.0,26.5,26.3,84.0,83.0,6.7,190.0,15.3,1
719,355,1016.7,19.6,18.9,17.2,16.5,83.0,81.0,0.6,80.0,38.3,1
1188,94,1014.4,26.8,23.8,20.4,22.3,90.0,83.0,1.3,70.0,17.5,1
232,233,1009.2,29.2,26.8,25.5,23.1,75.0,62.0,6.9,10.0,12.1,1
1247,153,1007.7,32.0,30.4,28.3,25.4,74.0,46.0,10.3,190.0,19.0,0
1562,103,1008.5,30.3,27.1,25.8,24.4,81.0,84.0,1.0,40.0,24.2,1
1411,317,1018.0,21.0,18.4,16.1,15.5,79.0,89.0,0.6,40.0,12.7,1
1329,235,1010.5,30.6,28.0,26.9,25.0,84.0,57.0,3.9,180.0,13.6,1
796,67,1020.6,18.8,19.9,17.1,16.0,79.0,95.0,0.0,30.0,19.3,1
1852,28,1013.3,24.3,21.5,19.9,19.3,91.0,78.0,1.5,40.0,14.5,1
1735,276,1016.0,28.7,26.0,25.3,22.8,89.0,81.0,2.1,220.0,17.2,1
117,118,1011.1,28.2,25.5,23.3,19.3,82.0,81.0,4.3,40.0,31.8,0
1252,158,1008.9,33.4,30.4,28.6,25.7,82.0,72.0,7.7,60.0,40.8,0
90,91,1014.6,28.2,24.5,22.3,22.0,87.0,81.0,4.8,40.0,8.9,1
145,146,1008.7,32.1,29.8,27.5,25.5,81.0,83.0,3.0,130.0,52.8,1
368,4,1022.9,16.2,13.3,11.6,12.1,84.0,80.0,0.4,20.0,59.5,1
122,123,1009.5,30.9,27.1,26.3,24.0,89.0,88.0,1.4,230.0,15.1,1
918,189,1006.4,32.3,29.9,28.2,25.2,84.0,72.0,10.7,220.0,17.3,1
1159,65,1016.0,21.8,19.4,17.6,16.7,70.0,49.0,11.0,20.0,37.5,0
1099,5,1022.1,15.9,13.1,12.2,10.3,74.0,81.0,2.1,50.0,28.2,1
2119,295,1016.5,26.2,23.9,22.3,19.3,79.0,74.0,7.4,40.0,10.7,1
706,342,1017.7,17.5,16.4,15.6,15.5,93.0,95.0,0.3,60.0,25.9,1
1668,209,1005.1,32.4,30.0,29.2,25.2,82.0,81.0,3.6,200.0,15.3,1
2156,332,1022.4,19.2,16.7,13.7,3.5,70.0,47.0,9.1,20.0,35.6,0
1231,137,1010.5,33.1,29.8,28.1,25.1,79.0,69.0,3.1,50.0,18.8,0
443,79,1013.4,27.8,24.4,23.1,22.1,87.0,88.0,1.6,40.0,13.0,1
446,82,1010.4,21.2,20.9,19.9,19.7,86.0,88.0,0.2,70.0,22.3,1
912,183,1008.4,33.7,30.0,27.8,25.0,78.0,38.0,11.4,180.0,13.9,0
1720,261,1012.2,28.2,26.4,25.4,24.4,89.0,90.0,1.2,40.0,19.8,1
1910,86,1020.3,27.5,24.4,24.4,20.4,76.0,77.0,1.5,50.0,13.0,1
1846,22,1025.4,20.1,18.4,15.2,13.3,74.0,72.0,7.6,20.0,9.2,0
1380,7,1012.0,30.1,26.8,23.3,20.6,70.0,44.0,10.2,20.0,9.5,0
1277,183,1008.5,29.2,27.8,26.6,25.4,89.0,81.0,6.4,190.0,23.9,1
931,202,1000.1,31.1,28.7,27.2,24.5,82.0,88.0,2.2,240.0,5.5,1
615,251,1005.7,32.8,29.1,27.9,26.1,79.0,30.0,7.2,230.0,38.0,0
1921,97,1007.9,28.4,26.5,25.5,23.8,87.0,84.0,1.2,70.0,34.0,1
184,185,1003.8,30.8,27.9,26.5,24.8,81.0,84.0,2.0,220.0,11.9,1
1591,132,1009.6,32.5,29.6,27.5,25.9,89.0,89.0,3.2,220.0,17.2,1
445,81,1011.1,24.9,22.3,20.4,18.0,91.0,86.0,0.1,40.0,18.6,1
1989,165,1008.1,33.3,30.1,28.1,25.8,78.0,72.0,7.7,190.0,12.4,0
1586,127,1008.8,30.7,27.5,24.0,25.5,84.0,87.0,2.4,190.0,21.9,1
406,42,1020.6,20.6,18.7,16.4,12.9,70.0,88.0,2.5,20.0,23.7,1
37,38,1021.8,21.1,18.2,17.8,16.9,74.0,44.0,9.5,20.0,26.7,0
1447,353,1018.1,20.6,18.8,17.2,14.7,75.0,82.0,2.4,20.0,24.9,0
1840,16,1034.6,10.4,8.7,7.0,2.4,46.0,19.0,10.0,20.0,34.3,0
1489,30,1025.8,17.3,15.4,13.3,3.7,64.0,91.0,2.4,70.0,18.0,0
1953,129,1008.4,28.4,27.0,25.5,25.4,89.0,88.0,0.4,190.0,12.1,1
6,7,1022.8,19.5,18.4,15.3,11.3,56.0,46.0,7.6,20.0,28.4,0
1410,316,1018.7,24.3,20.8,19.2,16.2,78.0,46.0,7.7,40.0,9.1,1
991,262,1008.1,31.0,28.7,27.0,25.0,81.0,78.0,6.4,230.0,23.5,1
1442,348,1018.1,17.3,16.5,15.6,15.6,90.0,91.0,1.0,60.0,39.5,1
101,102,1016.8,29.6,25.8,23.3,22.1,86.0,83.0,3.5,30.0,9.8,1
1272,178,1008.8,31.4,28.7,27.0,25.4,81.0,84.0,1.8,200.0,12.8,1
1229,135,1006.8,33.1,30.0,28.9,26.2,90.0,82.0,3.1,80.0,22.9,1
48,49,1016.8,21.3,19.5,17.6,17.6,75.0,70.0,2.2,50.0,16.5,0
695,331,1025.3,17.5,13.2,11.6,8.4,78.0,87.0,3.0,20.0,20.5,0
2141,317,1016.8,25.3,22.5,20.0,19.9,81.0,90.0,2.0,50.0,12.5,1
346,347,1022.8,17.6,15.9,14.4,11.1,77.0,85.0,0.0,30.0,20.0,0
128,129,1009.5,30.1,28.9,26.3,24.3,84.0,70.0,3.3,230.0,15.3,1
267,268,1008.3,22.5,20.8,19.6,18.6,73.0,21.0,10.0,60.0,38.3,0
1450,356,1016.8,21.1,18.8,17.4,15.3,75.0,88.0,0.0,50.0,30.3,1
1753,294,1012.5,26.7,24.5,23.7,22.6,77.0,84.0,3.5,80.0,22.0,1
1711,252,1007.4,30.4,28.8,26.8,24.8,58.0,46.0,9.1,230.0,16.0,0
1250,156,1008.1,34.0,30.8,28.7,25.2,74.0,22.0,11.8,240.0,12.5,0
2041,217,1008.1,29.8,27.8,25.5,23.3,86.0,82.0,1.9,200.0,14.1,1
1333,239,1009.4,31.9,28.6,26.5,22.1,83.0,83.0,3.4,80.0,34.0,1
640,276,1017.8,26.6,25.4,24.8,22.3,79.0,82.0,2.4,80.0,27.9,1
